ticker,sector,high1_date,high1,high2_date,high2,rsi1,rsi2,entry_date,entry_close,exit_date,exit_close,stock_60d_return,spy_entry_close,spy_exit_date,spy_exit_close,spy_60d_return,pair_pnl
JNJ,Healthcare,2008-07-16,68.81,2008-09-09,72.76,67.18138761398339,55.03362086310312,2008-09-16,69.8,2008-12-10,57.8,-0.17191977077363896,122.1,2008-12-10,90.11,-0.261998361998362,-0.09007859122472306
DLR,Real Estate,2008-08-12,46.98,2008-09-19,51.28,67.56015081290678,61.46282349949839,2008-09-26,46.87,2008-12-22,30.3,-0.3535310433112865,120.85,2008-12-22,87.06,-0.27960281340504756,0.07392822990623893
MMC,Financial Services,2008-07-10,29.5,2008-09-19,36.82,66.82665124579785,61.15800569712924,2008-09-26,33.57,2008-12-22,23.02,-0.31426869228477805,120.85,2008-12-22,87.06,-0.27960281340504756,0.034665878879730494
ESS,Real Estate,2008-07-23,124.31,2008-09-19,129.57,65.73819810918692,56.710149647619026,2008-09-26,118.99,2008-12-22,76.02,-0.36112278342717874,120.85,2008-12-22,87.06,-0.27960281340504756,0.08151997002213118
EW,Healthcare,2008-06-25,5.2909,2008-09-19,5.5825,71.83393825572512,57.9258261388166,2008-09-26,4.8717,2008-12-22,4.4959,-0.07713939692509797,120.85,2008-12-22,87.06,-0.27960281340504756,-0.2024634164799496
DGX,Healthcare,2008-07-22,54.36,2008-09-19,59.95,73.77609609146526,60.840406714082576,2008-09-26,52.01,2008-12-22,50.52,-0.028648336858296375,120.85,2008-12-22,87.06,-0.27960281340504756,-0.2509544765467512
LMT,Industrials,2008-07-23,107.43,2008-09-19,117.5,62.97932106605886,46.791957002346535,2008-09-26,112.55,2008-12-22,78.92,-0.29880053309640153,120.85,2008-12-22,87.06,-0.27960281340504756,0.019197719691353976
WELL,Real Estate,2008-07-23,49.98,2008-09-19,53.74,63.10955227014726,57.81287086673246,2008-09-26,52.51,2008-12-22,38.1,-0.2744239192534754,120.85,2008-12-22,87.06,-0.27960281340504756,-0.005178894151572133
UHS,Healthcare,2008-08-18,32.5,2008-09-19,34.63,56.68437371619032,45.81580610954628,2008-09-26,29.13,2008-12-22,17.57,-0.3968417439066254,120.85,2008-12-22,87.06,-0.27960281340504756,0.11723893050157785
IWM,ETF,2008-08-15,76.27,2008-09-19,86.05,64.24263249142953,57.486673469419735,2008-09-26,70.63,2008-12-22,47.76,-0.3238000849497381,120.85,2008-12-22,87.06,-0.27960281340504756,0.04419727154469055
UDR,Real Estate,2008-07-23,26.0,2008-09-19,28.5,64.45976243518426,59.173935893384765,2008-09-26,28.0,2008-12-22,13.33,-0.5239285714285714,120.85,2008-12-22,87.06,-0.27960281340504756,0.24432575802352385
JNJ,Healthcare,2008-07-16,68.81,2008-09-19,72.69,67.18138761398339,46.91765136684943,2008-09-26,69.4,2008-12-22,58.93,-0.15086455331412107,120.85,2008-12-22,87.06,-0.27960281340504756,-0.12873826009092648
BLK,Financial Services,2008-08-12,233.9,2008-09-19,249.37,57.71007680943396,49.66482095725863,2008-09-26,201.01,2008-12-22,133.29,-0.33689866175812144,120.85,2008-12-22,87.06,-0.27960281340504756,0.057295848353073886
